title,first_name,last_name,structure_level,groups,comment,is_active
,Fred,Nurk,Australien,3,,1
,Jan,Jansen,Belgien,3,,1
,Juan,Pérez,Chile,3,,1
Dr.,Max,Mustermann,Deutschland,4,"Demo-Account

Teilnehmer/innen-Namen aus
http://de.wikipedia.org/wiki/Otto_Normalverbraucher",1
,Otto,Normalverbraucher,Deutschland,3,Demo-Account,1
,Erika,Mustermann,Deutschland,,,0
,Morten,Meinigmand,Dänemark,3,,1
,Juan,Piguabe,Ecuador,3,,1
,Tädi,Maali,Estland,3,,1
,Maija,Maikäläinen,Finnland,3,,1
,Jean,Dupont,Frankreich,3,,1
,Paul,Martin,Frankreich,"3,4",,1
,Fred,Bloggs,Großbritanien,3,,0
,John,Smith,Großbritanien,4,,1
,Ashok,Kumar,Indien,3,,1
,Si,Polan,Indonesien,,,1
,Seán,Citizen,Irland,3,,1
,Jóna,Jónsson,Island,3,,1
,Israel,Israeli,Israel,3,,1
,Mario,Rossi,Italien,3,,1
,Jos,Bleau,Kanada,3,,1
,Fulano,de Tal,Kolumbien,3,,1
,Jenni,a Menni,Luxemburg,3,,1
,Joe,Borg,Malta,3,,1
,Bob,Smith,Neuseeland,,,1
,Harry,Holland,Niederlande,3,,1
Prof.,Hans,Maier,Österreich,3,,1
,Jan,Kowalski,Polen,3,,1
,Manuel,Dos Santos,Portugal,3,,1
,Cutare,Cutărică,Rumänien,3,,1
,Nils,Holgersson,Schweden,3,,1
,Max,Schweizer,Schweiz,,,1
,Janez,Novak,Slowenien,3,,1
,Koos,van der Merwe,Südafrika,3,,1
,Jan,Novák,Tschechien,3,,1
,Sade,Vatandaş,Türkei,3,,1
,Gipsz,Jakab,Ungarn,3,,1
,John,Doe,USA,3,,1
,Jane,Doe,USA,,,0
,Nguoi,La,Vietnam,3,,0
